Set,Instances,SimHGS,TSim,SBDF,SBDB
SetA,10x3A,0,13.59797841,0.174224673,0.250677694
SetA,10x4A,0,2.797603798,0.000530955,0.000530955
SetA,15x3A,0,0.089130652,0.045313904,0.053897595
SetA,15x4A,0,3.971133054,0.091485083,0.091485083
SetA,20x3A,0,2.966713761,0,0
SetA,20x4A,0,1.611277256,0.00033697,0.001741011
SetA,25x3A,0.001135339,0.311295875,0.012417775,0.012502925
SetA,25x5A,0.002981148,2.386366443,0.016666037,0.031571778
SetA,28x3A,0,0.66622587,0.015722235,0.008568772
SetA,28x5A,0.006414526,2.248007073,0.028059603,0.061459377
SetA,30x6A,0.011146313,2.388525125,0.056333051,0.09206516
SetA,30x8A,0.011523586,2.554112364,0.466811176,0.508765504
SetA,35x6A,0.188786035,1.5958601,0.433060048,0.583320633
SetA,35x8A,0.053065809,1.763191791,0.341692037,0.466435037
SetA,40x6A,0.078537738,2.367407762,0.45318914,0.629178583
SetA,40x8A,0.226396809,1.910058692,0.526758676,0.679780529
SetA,50x6A,0.081989026,0.600527543,0.1913257,0.223710769
SetA,50x8A,0.034297522,2.013370865,0.377617317,0.612721392
SetA,60x8A,0.198864182,1.968288533,0.966964593,1.030948238
SetA,60x10A,0.052306198,1.987825085,1.156268336,1.237476213
SetA,80x8A,0.135264534,1.402455899,0.317408742,0.406923364
SetA,80x10A,0.336994597,2.963287613,1.172892724,1.519637835
SetA,100x10A,0.131354009,1.571050747,0.609029052,0.875656754
SetA,100x15A,0.287340515,2.109900619,1.717605211,2.56282527
SetB,10x3B,0,5.021716499,0.002899703,0.002899703
SetB,10x4B,0,2.946901359,0.017976102,0.017610073
SetB,15x3B,0.001799025,2.260977691,0.03225017,0.036377346
SetB,15x4B,0.013909219,2.068061387,0.093862493,0.114953854
SetB,20x3B,0.005154661,2.898552117,0.180493163,0.180269048
SetB,20x4B,0.167323832,1.544878288,0.248817805,0.337814491
SetB,25x3B,0.022579079,0.37644632,0.032162975,0.051380445
SetB,25x5B,0.138937416,2.122913068,0.434592046,0.676077675
SetB,28x3B,0.030555765,0.652873197,0.075748701,0.111893129
SetB,28x5B,0.163935079,1.217479545,0.325148375,0.372465525
SetB,30x6B,0.118782917,1.424264859,0.486207045,0.560282626
SetB,30x8B,0.121151183,1.115773571,0.405677568,0.58581417
SetB,35x6B,0.097532856,0.99141137,0.399217018,0.4640254
SetB,35x8B,0.070653005,1.438822589,0.297297232,0.524448359
SetB,40x6B,0.053265655,1.110464601,0.440112077,0.582547062
SetB,40x8B,0.145914355,1.502092606,0.607431363,0.77281015
SetB,50x6B,0.11096042,0.69625503,0.362074349,0.388424579
SetB,50x8B,0.131994974,1.178796328,0.583395018,0.778703339
SetB,60x8B,0.16619718,0.895479994,0.578571315,0.988524784
SetB,60x10B,0.153979912,1.256188863,0.781678287,1.6691861
SetB,80x8B,0.028542609,0.692560325,0.757231574,0.757231574
SetB,80x10B,0.039535555,1.009572775,1.759221134,1.759221134
SetB,100x10B,0.077550281,0.712999999,1.245083438,1.245083438
SetB,100x15B,0.244303488,0.801230311,3.663597676,3.664254168
SetC,10x3C,1.204708214,3.305046756,3.681384695,4.72544345
SetC,10x4C,1.204708214,3.305046756,3.681384695,4.72544345
SetC,15x3C,0.954257129,4.494906837,2.780728991,2.389999056
SetC,15x4C,1.204708214,3.305046756,3.681384695,4.72544345
SetC,20x3C,1.329037441,1.51718807,1.199721858,1.121747701
SetC,20x4C,8.75337984,13.19790474,11.01899189,11.01899189
SetC,25x3C,0.548171584,0.875993122,0.754784765,0.799831455
SetC,25x5C,0.963438961,4.545194587,1.073108352,1.58357201
SetC,28x3C,1.956895669,1.779162495,2.328564213,2.314051306
SetC,28x5C,2.00030963,4.102337944,3.387963628,4.870140015
SetC,30x6C,0.920314427,8.185637549,4.092282332,5.150558642
SetC,30x8C,1.264361235,8.396527189,3.453595074,4.767364404
SetC,35x6C,1.217735858,4.756802666,4.100422115,5.032387589
SetC,35x8C,1.138252497,3.493124102,3.840068814,4.277122449
SetC,40x6C,0.503553748,1.950582077,2.698166779,3.1189834
SetC,40x8C,1.124965637,2.958650973,2.709725451,3.423398478
SetC,50x6C,0.502747886,1.731728936,2.111556159,3.17340966
SetC,50x8C,0.30835524,1.513849387,1.890529299,2.660848026
SetC,60x8C,0.451687015,1.167676463,1.488613656,3.54867293
SetC,60x10C,0.461554747,1.476086598,1.744773685,3.672613479
SetC,80x8C,0.213734436,1.063869427,4.28119124,10.45531007
SetC,80x10C,0.204071022,0.945262869,5.800603338,9.301622924
SetC,100x10C,0.254097674,0.698479182,7.517213056,7.517213056
SetC,100x15C,0.227950819,0.555016669,9.036473908,9.036473908
