Set,Instances,SimHGS,TSim,SBDF,SBDB
SetA,10x3A,0,13.5970595,0.035837354,0.035837354
SetA,10x4A,0,2.798267493,0.000132739,0.000132739
SetA,15x3A,0,0.088831221,0.040922248,0.040922248
SetA,15x4A,0,3.970906232,0.091485083,0.091485083
SetA,20x3A,0,2.805877366,0,0
SetA,20x4A,0,1.582354015,0.000280808,0.000280808
SetA,25x3A,0,0.288503936,0.008926606,0.008926606
SetA,25x5A,0,1.984223764,0.005025364,0.009851985
SetA,28x3A,0,0.665225923,0.000799957,0.000799957
SetA,28x5A,0,1.95115354,0.00515058,0.009100412
SetA,30x6A,0,2.179357893,0.029980386,0.056107493
SetA,30x8A,0,2.090332852,0.049174906,0.093997907
SetA,35x6A,0,1.395357797,0.17398773,0.447745043
SetA,35x8A,0,1.697962072,0.2362555,0.352981105
SetA,40x6A,0,1.924375088,0.120553235,0.441754955
SetA,40x8A,0,1.51219513,0.438799773,0.485755024
SetA,50x6A,0,0.495615942,0.155744104,0.190443767
SetA,50x8A,0,1.864708664,0.172111416,0.416703303
SetA,60x8A,0,1.771625972,0.745764104,0.745764104
SetA,60x10A,0,1.750004226,0.884501253,0.884501253
SetA,80x8A,0,1.117124432,0.266645289,0.266645289
SetA,80x10A,0,2.731007154,0.859911147,1.221674784
SetA,100x10A,0,1.361680684,0.287925381,0.43062979
SetA,100x15A,0,1.75099728,0.794592685,2.123681388
SetB,10x3B,0,5.016997375,0.002785989,0.002785989
SetB,10x4B,0,2.946942029,0.015861267,0.015861267
SetB,15x3B,0,2.260289828,0.007275469,0.003571594
SetB,15x4B,0,2.068140529,0.037750767,0.037750767
SetB,20x3B,0,2.865735178,0.040116707,0.052763234
SetB,20x4B,0,1.499432857,0.101442016,0.191563369
SetB,25x3B,0,0.342561142,0.002053396,0.011492395
SetB,25x5B,0,1.753624227,0.160865251,0.325476834
SetB,28x3B,0,0.611388124,0.037558128,0.065253424
SetB,28x5B,0,1.14604934,0.203536255,0.281513038
SetB,30x6B,0,1.157705782,0.342257951,0.342257951
SetB,30x8B,0,0.941595142,0.075846206,0.292656136
SetB,35x6B,0,0.846156275,0.308047345,0.336284582
SetB,35x8B,0,1.228134552,0.142584444,0.331703114
SetB,40x6B,0,0.972138483,0.300563082,0.426332408
SetB,40x8B,0,1.289829997,0.477774107,0.646572396
SetB,50x6B,0,0.651218868,0.309607088,0.345235974
SetB,50x8B,0,0.987824512,0.313381935,0.627007537
SetB,60x8B,0,0.698688685,0.438174749,0.785059107
SetB,60x10B,0,1.059533151,0.567229876,0.95876987
SetB,80x8B,0,0.4926215,0.625679046,0.625679046
SetB,80x10B,0,0.97594478,1.551017596,1.551017596
SetB,100x10B,0,0.598899541,1.070155331,1.070155331
SetB,100x15B,0,0.655923585,3.05838904,3.05838904
SetC,10x3C,0,2.254871414,1.905318002,2.809899716
SetC,10x4C,0.082627956,2.254871414,1.905318002,0
SetC,15x3C,0,4.218044003,0.78388,0.180057647
SetC,15x4C,0,2.254871414,1.905318002,2.809899716
SetC,20x3C,0.471659263,0.008438762,0.004388156,0
SetC,20x4C,0,9.077120367,2.207876098,2.207876098
SetC,25x3C,0.260610755,0.432321579,0,0
SetC,25x5C,0.019101782,3.937712178,0,0.31477906
SetC,28x3C,0.98381528,0,1.153376622,1.153376622
SetC,28x5C,0,2.814698243,1.703533476,3.235113375
SetC,30x6C,0,6.995424012,1.970475332,2.886278143
SetC,30x8C,0,5.855375888,1.462552212,3.19476816
SetC,35x6C,0,3.32986732,2.820343202,4.120516849
SetC,35x8C,0,1.645331591,2.906034649,3.273604914
SetC,40x6C,0,1.20969819,1.657687576,2.599496606
SetC,40x8C,0,1.67229449,1.958400478,2.803017747
SetC,50x6C,0,1.107420925,0.543162187,1.935750779
SetC,50x8C,0,0.5212717,1.215762027,2.183023625
SetC,60x8C,0,0.828330343,1.161018195,1.608035774
SetC,60x10C,0,1.239442178,1.126773121,1.205313116
SetC,80x8C,0,0.804525246,2.328925365,6.896268258
SetC,80x10C,0,0.637846571,2.575104991,6.77823291
SetC,100x10C,0,0.597317447,4.953198154,4.953198154
SetC,100x15C,0,0.419818652,7.479186205,7.479186205
