Instances,SBLS,FI,BI,Sim,SimN
10x3A,1,4.9,7.5,0.3,0.7
10x4A,0.9,3.2,5.4,0.3,0.8
15x3A,1.3,10.1,16.1,0.3,0.8
15x4A,1.3,11.2,18.2,0.3,0.9
20x3A,1.4,18.4,29.3,0.3,0.8
20x4A,1.6,21.8,33.8,0.4,0.9
25x3A,1.7,25.2,43.5,0.4,1
25x5A,2.5,66.4,114.1,0.5,1.2
28x3A,1.8,37.1,64.7,0.3,0.9
28x5A,2.4,75.5,134.2,0.5,1.2
30x6A,2.8,93.5,163.6,0.6,1.3
30x8A,3.1,121.8,215.4,0.6,1.3
35x6A,3.8,166.6,297.5,0.6,1.4
35x8A,3.8,202.3,356.7,0.7,1.6
40x6A,4.1,225.3,423.1,0.7,1.6
40x8A,4.7,302.5,585.5,0.9,1.9
50x6A,5.8,437.1,776.6,1.1,2.3
50x8A,7.8,861.7,1574.3,1.2,2.4
60x8A,11.1,1557.1,2994.1,1.6,3.1
60x10A,9.3,1092.5,1999.3,1.4,2.8
80x8A,17.3,4502,8188,2.2,3.9
80x10A,16.1,3386.5,6596.8,2.1,3.7
100x10A,27.6,9211,17283.1,3.1,5.1
100x15A,34.2,13200.8,24033,4.3,6.6
