Instances,SBLS,FI,BI,Sim,SimN
10x3B,1.8,10.7,17.5,0.4,0.8
10x4B,1.5,7.6,13.2,0.4,0.8
15x3B,2.4,25.8,39.9,0.4,0.8
15x4B,2.3,25.5,38.7,0.5,0.9
20x3B,3.3,44.8,72.8,0.5,0.9
20x4B,3.7,61.9,98,0.6,1.1
25x3B,3.8,82.2,146.6,0.7,1.2
25x5B,5.3,156.5,262.1,0.9,1.5
28x3B,4.2,84.3,147.4,0.7,1.1
28x5B,5.6,221.5,382.4,1,1.6
30x6B,6.2,239,420.3,1.1,1.7
30x8B,6.9,337.8,534.1,1.1,1.7
35x6B,8.6,366.5,690.8,1.2,1.8
35x8B,8.6,499.6,889.7,1.5,2.1
40x6B,9.7,488.9,969.2,1.4,2
40x8B,9.9,624.2,1167.3,1.7,2.4
50x6B,16,1406.1,2586.3,2.3,3
50x8B,18.1,1693.8,3095.1,2.5,3.1
60x8B,25.4,3177.4,5918.2,3.6,4.2
60x10B,24.7,2618.2,4995.9,3.2,3.9
80x8B,43.9,8763.6,15654.7,5.4,5.9
80x10B,47,8863.5,16781.8,4.9,5.5
100x10B,68.8,19682.5,36466.3,7.8,8
100x15B,69.8,25295.3,44960.3,11.6,11.1
