Instances,SBLS,FI,BI,Sim,SimN
10x3C,2,5,5.2,0.7,1.1
10x4C,2,5.6,6.1,0.7,1.1
15x3C,2.7,10.1,11.3,0.8,1.3
15x4C,2.7,10.7,12.8,0.8,1.3
20x3C,3.2,13.5,25.2,1,1.5
20x4C,3.4,16.8,36.1,1.1,1.6
25x3C,3.8,25.1,33.2,1.2,1.7
25x5C,4.1,51.5,71.1,1.4,1.9
28x3C,4.1,44.1,62.6,1.3,1.9
28x5C,4.9,95.7,148.3,1.5,2
30x6C,5,71.1,136.9,1.6,2.2
30x8C,5.1,82.2,162.4,1.7,2.3
35x6C,6.8,105.6,140.7,2.1,2.7
35x8C,6.9,133.3,176.4,2.3,2.9
40x6C,7.9,166,212.3,2.5,3.2
40x8C,8.2,182.1,244.4,2.6,3.2
50x6C,12.2,538.5,818.5,3.9,4.6
50x8C,13.1,595,904.5,4.3,5
60x8C,19.3,1600.4,2714.7,5.8,6.5
60x10C,18,1439.1,2459,5.2,5.7
80x8C,30.3,4097.8,7189.5,8.5,8.4
80x10C,31.6,4427.4,7852.1,7.9,7.9
100x10C,46.9,8184.5,16304,11.8,11.2
100x15C,53.1,11129,21370.3,14.3,13.1
