,HGS,,,MILP,,
Instances,Best,Avg,t,Best,t,gap
10x3A,5506,5506,0.1,5506,0.9,0
10x4A,7323,7323,0.0,7323,109.0,0
15x3A,10014,10014,0.3,10014,4.9,0
15x4A,13198,13198,0.4,13198,208.9,0
20x3A,17683,17683,1.5,17683,18.4,0
20x4A,17132,17132,2.1,17132,1259.9,0
25x3A,70383,70383,26.7,70383,150.4,0
25x5A,35517,35517,5.0,35517,3565.7,0.01
28x3A,64508,64508,18.2,64508,66.5,0
28x5A,62791,62791,12.3,62791,3579.6,0.07
30x6A,52850,52850,92.4,52866,3586.0,824.6
30x8A,61223,61223,70.2,62123,3589.5,994.9
35x6A,88426,88427,148.5,88427,3589.0,0.05
35x8A,83009,83009.2,226.4,83024,3590.1,1134.3
40x6A,106645,106646.9,425.2,107496,3590.1,880.6
40x8A,118276,118282.5,449.1,118911,3590.4,1139.2
50x6A,259785,259787.5,380.7,259805,3590.5,397.7
50x8A,167080,167084.2,483.2,170956,3591.0,1272.9
60x8A,255983,255999.3,491.6,265100,3587.2,1102.1
60x10A,255826,255838.3,522.6,266034,3591.1,1398.1
80x8A,551678,551707.7,527.3,722316,3592.8,651.6
80x10A,369103,369140.7,423.6,392307,3593.4,1911.9
100x10A,766271,766329.4,370.8,1941110,3619.4,5926.1
100x15A,739248,739312.6,341.5,1941130,3607.8,13295.9
10x3B,17388,17388,0.3,17388,68.8,0
10x4B,23637,23637,0.3,23637,584.2,0
15x3B,37643,37643,1.1,37643,3590.4,0.02
15x4B,50171,50171,1.1,50171,3584.4,0.06
20x3B,62015,62015.1,73.0,62015,3584.6,0.03
20x4B,66644,66644,6.1,66648,3591.4,0.29
25x3B,241587,241587,122.0,241588,3589.8,0.01
25x5B,115114,115116.5,417.5,115142,3589.3,0.09
28x3B,240743,240743,83.8,240743,3585.5,0.01
28x5B,195792,195792.8,144.3,195808,3591.1,0.05
30x6B,193411,193412.3,336.4,195768,3584.2,946.3
30x8B,198136,198138.2,273.9,208295,3590.7,1283.5
35x6B,304140,304142.5,360.4,308808,3591.4,762.3
35x8B,263681,263684.8,339.8,274114,3585.1,1291.8
40x6B,345278,345285.6,415.5,352098,3585.8,964.0
40x8B,359056,359059.4,535.5,376610,3590.4,1240.3
50x6B,830089,830098.6,446.1,836103,3592.4,456.4
50x8B,522623,522632.7,503.6,767383,3590.2,1026.2
60x8B,934177,934202.4,393.8,1161790,3606.8,850.0
60x10B,845184,845213.5,395.1,2359840,3619.0,6216.3
80x8B,1808850,1809117,368.2,4221240,3621.3,3598.7
80x10B,1319790,1320270,424.0,4221250,3624.2,6732.1
100x10B,2595660,2597305,400.3,6608060,3628.4,5949.0
100x15B,2490820,2493656,368.9,6608060,3653.5,13415.8
10x3C,4,5.4,245.7,4,2861.0,0
10x4C,0,0,82.4,0,64.5,0
15x3C,5004,5004,66.6,8305,3590.3,99.8
15x4C,67,70.2,276.8,3057,3591.3,99.7
20x3C,23316,23494.4,207.4,39982,3579.6,947.6
20x4C,1129,1232.4,101.8,17639,3591.2,99.9
25x3C,69462,70075.5,237.8,94796,3589.4,69.3
25x5C,38012,38214.1,481.8,60446,3589.6,53.3
28x3C,105510,106402.7,374.6,147167,3590.3,77.8
28x5C,36884,36896.5,498.7,125709,3591.3,74.7
30x6C,30898,30901.4,321.4,56571,3590.3,4855.3
30x8C,30874,30881.1,451.9,397378,3590.3,1051.9
35x6C,103916,104440.2,466.4,184767,3585.0,1797.3
35x8C,99385,99759.2,451.7,523792,3591.1,960.5
40x6C,165861,166771.2,445.2,254085,3590.0,1694.2
40x8C,163852,164889.3,318.2,248570,3585.9,2411.3
50x6C,399607,400781.9,494.3,1487770,3591.6,473.9
50x8C,389848,391233.6,360.7,1441470,3592.0,649.2
60x8C,504997,505783,325.8,2179280,3591.0,646.9
60x10C,504312,506394.5,397.5,2359850,3612.4,7516.1
80x8C,1053370,1056179,328.1,4221250,3622.7,4674.3
80x10C,1055420,1057383,382.2,4221250,3598.5,7220.2
100x10C,2168350,2171574,279.6,6608070,3602.4,6468.4
100x15C,2175300,2179649,367.9,6608070,3639.2,14122.6
