Instances,Train,Test
10x3A,5441.25,5443.3
10x4A,7533.59,7528.4
15x3A,10019,10019
15x4A,13226.2,13227.1
20x3A,17695,17695
20x4A,17805.75,17794.8
25x3A,70463.51,70465.9
25x5A,35221.33,35227.2
28x3A,65003.48,65050.5
28x5A,63293.84,63297
30x6A,53201.45,53200.2
30x8A,61352.43,61362.3
35x6A,88253.35,88276.9
35x8A,83443.56,83429.3
40x6A,107222.34,107293.3
40x8A,118623.58,118657
50x6A,259656.7,259652.1
50x8A,168321.2,168355.2
60x8A,256174.84,256202
60x10A,258497.09,258447.2
80x8A,554099.42,554057.4
80x10A,373005.98,373042.9
100x10A,773276.74,773151.4
100x15A,749159.93,749120
10x3B,17588.01,17568.7
10x4B,24588.2,24549.1
15x3B,37798.25,37788.2
15x4B,50542.02,50566.1
20x3B,62467.74,62481.1
20x4B,67575.55,67545.8
25x3B,241551.04,241567.5
25x5B,114511.99,114496.9
28x3B,241918.34,241922.1
28x5B,195827.52,195835.5
30x6B,194666.04,194757.9
30x8B,201236.17,201248.1
35x6B,305978.94,305946.9
35x8B,268297.15,268304.2
40x6B,347541.02,347537.3
40x8B,362918.37,362944.5
50x6B,831909.25,831868.7
50x8B,525307.88,525345.2
60x8B,941062.9,941083
60x10B,854676.42,854579.7
80x8B,1821242.07,1821201.3
80x10B,1337100.24,1336938.5
100x10B,2620042.08,2620083.7
100x15B,2525547.24,2525141.9
100x15B,2525547.24,2525141.9
10x3C,43.81,51.2
10x4C,17,23.2
15x3C,8264.02,8288.9
15x4C,374.6,353.4
20x3C,29764.93,29791.1
20x4C,5248.03,5193.2
25x3C,82328.8,82390.3
25x5C,43721.55,43829.2
28x3C,121351.14,121631.9
28x5C,42243.96,42307.7
30x6C,36350.62,36448.9
30x8C,35803.85,35853.2
35x6C,119484.04,119510.2
35x8C,114372.69,114316.4
40x6C,181321.26,181231.9
40x8C,180282.84,180337.5
50x6C,425567.18,425714.7
50x8C,417126.04,417445.2
60x8C,531970.13,531943.3
60x10C,532976.86,533136.6
80x8C,1096037.7,1095927.7
80x10C,1098289.2,1098116.4
100x10C,2230299.83,2229970.4
100x15C,2239781.38,2239764.5
100x15C,2239781.38,2239764.5
