,SimHGS,,MVND,
Instances,Best,Avg,Best,Avg
10x3A,5441.25,5441.25,5443.25,5451.98
10x4A,7533.59,7533.59,7533.59,7533.63
15x3A,10019,10019,10023.13,10024.28
15x4A,13226.2,13226.2,13235.29,13238
20x3A,17695,17695,17695,17695
20x4A,17805.75,17805.75,17805.75,17806.1
25x3A,70463.51,70464.31,70469.78,70472.22
25x5A,35221.33,35222.38,35225.63,35232.44
28x3A,65003.48,65003.48,65004.01,65004.57
28x5A,63293.84,63297.9,63299.55,63330.94
30x6A,53201.45,53207.38,53230.09,53246.59
30x8A,61352.43,61359.5,61402.29,61661.85
35x6A,88253.35,88419.96,88648.51,88727.81
35x8A,83443.56,83487.84,83738.08,83816.83
40x6A,107222.34,107306.55,107695.97,107896.96
40x8A,118623.58,118892.14,119199.77,119409.55
50x6A,259656.7,259869.59,260146.05,260222.11
50x8A,168321.2,168378.93,168857.9,169321.56
60x8A,256174.84,256684.28,258085.34,258669.14
60x10A,258497.09,258632.3,260783.53,261663.17
80x8A,554099.42,554848.92,555576.88,556374.76
80x10A,373005.98,374262.99,377562.92,378642.21
100x10A,773276.74,774292.47,777694.32,780455.88
100x15A,749159.93,751312.57,771094.61,778248.79
10x3B,17588.01,17588.01,17588.52,17588.52
10x4B,24588.2,24588.2,24592.14,24592.69
15x3B,37798.25,37798.93,37799.63,37812.68
15x4B,50542.02,50549.05,50561.07,50600.47
20x3B,62467.74,62470.96,62500.72,62586.42
20x4B,67575.55,67688.62,67665.92,67784.22
25x3B,241551.04,241605.58,241578.79,241675.37
25x5B,114511.99,114671.09,114846.46,115265.27
28x3B,241918.34,241992.26,242076.19,242178.01
28x5B,195827.52,196148.55,196378.8,196552.48
30x6B,194666.04,194897.27,195332.26,195756.72
30x8B,201236.17,201479.97,201606.79,202346.24
35x6B,305978.94,306277.37,307007.94,307343.12
35x8B,268297.15,268486.71,269187.06,269543.3
40x6B,347541.02,347726.14,349022.65,349552.24
40x8B,362918.37,363447.92,365264.93,365723.04
50x6B,831909.25,832832.34,834781.32,835122.98
50x8B,525307.88,526001.26,528601.61,529214.55
60x8B,941062.9,942626.92,948058.83,949672.5
60x10B,854676.42,855992.45,862870.78,869366.77
80x8B,1821242.07,1821761.9,1841438.28,1845007.1
80x10B,1337100.24,1337628.87,1372706.18,1376305.29
100x10B,2620042.08,2622073.93,2677587.65,2689224.23
100x15B,2525547.24,2531717.24,2652854.5,2676599.39
10x3C,43.81,47.11,44.68,52.27
10x4C,17,19.7,17,27.32
15x3C,8264.02,8342.88,8328.75,8480.82
15x4C,374.6,604.75,580.62,749.19
20x3C,29764.93,30018.93,29626.5,29963
20x4C,5248.03,5707.41,5363.9,5826.31
25x3C,82328.8,82564.93,82114.78,82754.49
25x5C,43721.55,44134.35,43771.41,44326.43
28x3C,121351.14,122520.48,121554.89,122973.3
28x5C,42243.96,43088.97,43610.6,44190
30x6C,36350.62,36685.16,37343.98,38023.32
30x8C,35803.85,36256.54,36947.65,37430.81
35x6C,119484.04,120939.04,124447.22,125503.19
35x8C,114372.69,115674.54,118116.78,119264.55
40x6C,181321.26,182234.31,186034.66,186976.64
40x8C,180282.84,182310.96,185305.9,186319.35
50x6C,425567.18,427706.71,427878.71,437674.65
50x8C,417126.04,418412.27,424872.36,426946.82
60x8C,531970.13,534372.97,538201.69,543529.88
60x10C,532976.86,535436.84,538982.26,548373.79
80x8C,1096037.7,1098380.31,1185688.15,1227276.7
80x10C,1098289.2,1100530.49,1204535.14,1223809.61
100x10C,2230299.83,2235966.97,2403263.91,2453443.34
100x15C,2239781.38,2244886.98,2485230.32,2519999.28
