Instance Name,SimHGS,Det,EDT,MTG
TDSP10_3_10_3_M,5443.3,6313.52,10666.04,10666.04
TDSP10_4_10_4_M,7528.4,8198.79,12732.26,12741.41
TDSP15_3_15_3_M,10019,10519.52,25195,25195
TDSP15_4_15_4_M,13227.1,14874.81,25226.46,25227.05
TDSP20_3_20_3_M,17695,18625.06,39781.99,39782
TDSP20_4_20_4_M,17794.8,18503.7,33165.67,33328.19
TDSP25_3_25_3_M,70465.9,71682.78,78990.16,79201.09
TDSP25_5_25_5_M,35227.2,37947.21,66410.89,66425.53
TDSP28_3_28_3_M,65050.5,65488.7,95453.53,98236.94
TDSP28_5_28_5_M,63297,66590.94,98118.64,98116.02
TDSP30_6_30_6_M,53200.2,56258.79,88933.12,89269.11
TDSP30_8_30_8_M,61362.3,65925.35,89212.43,89386.18
TDSP35_6_35_6_M,88276.9,92189.22,123951.21,124613.47
TDSP35_8_35_8_M,83429.3,86942,129839.38,129820.87
TDSP40_6_40_6_M,107293.3,113355.12,192173.44,193013.48
TDSP40_8_40_8_M,118657,125697.04,177611.02,177516.11
TDSP50_6_50_6_M,259652.1,262941.29,325548.2,325536.55
TDSP50_8_50_8_M,168355.2,175422.71,262451.13,262791.56
TDSP60_8_60_8_M,256202,266562.88,418612.47,418634.86
TDSP60_10_60_10_M,258447.2,270504.81,379437.46,379246.59
TDSP80_8_80_8_M,554057.4,563753.96,728722.49,728813.61
TDSP80_10_80_10_M,373042.9,389986.27,645020.6,645002.99
TDSP100_10_100_10_M,773151.4,787493.22,1168305.53,1168150.67
TDSP100_15_100_15_M,749120,766072.5,1034036.5,1035686.27
TDSP10_3_10_3_MD,17568.7,19333,30740.37,30740.5
TDSP10_4_10_4_MD,24549.1,25691.06,36353.38,36372.62
TDSP15_3_15_3_MD,37788.2,40606.09,79478.78,79481.95
TDSP15_4_15_4_MD,50566.1,53756.08,67886.8,67844.31
TDSP20_3_20_3_MD,62481.1,65859.51,137616.23,137636.83
TDSP20_4_20_4_MD,67545.8,71612.71,101294.62,101288.76
TDSP25_3_25_3_MD,241567.5,244203.12,277556.94,281094.98
TDSP25_5_25_5_MD,114496.9,121638.94,199407.45,199687.37
TDSP28_3_28_3_MD,241922.1,245320.43,311237.66,321136.29
TDSP28_5_28_5_MD,195835.5,202343.72,288642.61,289406.95
TDSP30_6_30_6_MD,194757.9,203747.94,312095.09,312944.27
TDSP30_8_30_8_MD,201248.1,208962.5,299755.73,300480.31
TDSP35_6_35_6_MD,305946.9,314570.98,410079,414272.45
TDSP35_8_35_8_MD,268304.2,278460.56,414985.76,416707.62
TDSP40_6_40_6_MD,347537.3,357847.62,581632.53,590547.86
TDSP40_8_40_8_MD,362944.5,376940.04,550438.29,553019.32
TDSP50_6_50_6_MD,831868.7,842649.68,1054595.13,1054507.94
TDSP50_8_50_8_MD,525345.2,539713.24,855628.05,855542.13
TDSP60_8_60_8_MD,941083,955504.31,1460428.29,1460524.1
TDSP60_10_60_10_MD,854579.7,870128.16,1294061.8,1293939.75
TDSP80_8_80_8_MD,1821201.3,1835036.53,2533979.67,2541657.62
TDSP80_10_80_10_MD,1336938.5,1353065.74,2256883.62,2256859.29
TDSP100_10_100_10_MD,2620083.7,2636694.21,3970654.91,3982636.78
TDSP100_15_100_15_MD,2525141.9,2542573.34,3579842.45,3590604.75
TDSP10_3_10_3_X,51.2,2868.64,6972.4,8135.93
TDSP10_4_10_4_X,23.2,2011.45,9853.71,10493.83
TDSP15_3_15_3_X,8288.9,11603.7,35690.71,58595.68
TDSP15_4_15_4_X,353.4,6039.45,10129.91,29394.89
TDSP20_3_20_3_X,29791.1,33662.22,106371.87,119077.49
TDSP20_4_20_4_X,5193.2,8264.11,43688.21,88456.13
TDSP25_3_25_3_X,82390.3,86926.67,202033.52,259710.25
TDSP25_5_25_5_X,43829.2,50650.08,99691.22,186190.37
TDSP28_3_28_3_X,121631.9,133826.18,225552.85,358920.85
TDSP28_5_28_5_X,42307.7,49763.22,65799.95,184374.2
TDSP30_6_30_6_X,36448.9,43807.23,55433.74,190174.94
TDSP30_8_30_8_X,35853.2,43562.73,55270.93,159872.67
TDSP35_6_35_6_X,119510.2,127353.69,226657.5,422246.18
TDSP35_8_35_8_X,114316.4,121244.26,183546.86,379591.47
TDSP40_6_40_6_X,181231.9,190894.03,338828.29,651084.94
TDSP40_8_40_8_X,180337.5,191505.58,288954.18,601167.26
TDSP50_6_50_6_X,425714.7,437632.7,694774.39,1105077.62
TDSP50_8_50_8_X,417445.2,423862.1,625228.24,1027925.49
TDSP60_8_60_8_X,531943.3,549506.78,850193.84,1294207.09
TDSP60_10_60_10_X,533136.6,540417.91,860557.15,1204272.42
TDSP80_8_80_8_X,1095927.7,1110029.72,1786347.52,2744886.85
TDSP80_10_80_10_X,1098116.4,1110949.84,1805124.93,2584725.42
TDSP100_10_100_10_X,2229970.4,2248767.78,3357780.21,4663249.3
TDSP100_15_100_15_X,2239764.5,2257277.8,3435237.19,4067405.81
