Instance index,Avg_Improvement_Percentage(%)
TDSP10_3_10_3_M,12.0556
TDSP10_4_10_4_M,14.3956
TDSP15_3_15_3_M,4.2984
TDSP15_4_15_4_M,10.1972
TDSP20_3_20_3_M,3.9433
TDSP20_4_20_4_M,3.1288
TDSP25_3_25_3_M,1.3049
TDSP25_5_25_5_M,4.6457
TDSP28_3_28_3_M,0.7850
TDSP28_5_28_5_M,4.0522
TDSP30_6_30_6_M,3.9129
TDSP30_8_30_8_M,6.5912
TDSP35_6_35_6_M,3.7378
TDSP35_8_35_8_M,3.2353
TDSP40_6_40_6_M,4.9726
TDSP40_8_40_8_M,4.7184
TDSP50_6_50_6_M,1.2694
TDSP50_8_50_8_M,3.7464
TDSP60_8_60_8_M,3.7135
TDSP60_10_60_10_M,3.9609
TDSP80_8_80_8_M,1.8508
TDSP80_10_80_10_M,3.2012
TDSP100_10_100_10_M,1.6362
TDSP100_15_100_15_M,2.0295
TDSP10_3_10_3_MD,10.7731
TDSP10_4_10_4_MD,3.1505
TDSP15_3_15_3_MD,6.0011
TDSP15_4_15_4_MD,4.5328
TDSP20_3_20_3_MD,4.4169
TDSP20_4_20_4_MD,3.8684
TDSP25_3_25_3_MD,0.9096
TDSP25_5_25_5_MD,4.7368
TDSP28_3_28_3_MD,1.2845
TDSP28_5_28_5_MD,2.7869
TDSP30_6_30_6_MD,3.1361
TDSP30_8_30_8_MD,2.4159
TDSP35_6_35_6_MD,2.2164
TDSP35_8_35_8_MD,2.4840
TDSP40_6_40_6_MD,2.2044
TDSP40_8_40_8_MD,2.6793
TDSP50_6_50_6_MD,1.1537
TDSP50_8_50_8_MD,2.0911
TDSP60_8_60_8_MD,0.9936
TDSP60_10_60_10_MD,1.3383
TDSP80_8_80_8_MD,0.7572
TDSP80_10_80_10_MD,0.9005
TDSP100_10_100_10_MD,0.5991
TDSP100_15_100_15_MD,0.5450
TDSP10_3_10_3_X,98.3470
TDSP10_4_10_4_X,98.9641
TDSP15_3_15_3_X,4.4964
TDSP15_4_15_4_X,88.4649
TDSP20_3_20_3_X,1.1994
TDSP20_4_20_4_X,12.1937
TDSP25_3_25_3_X,0.8033
TDSP25_5_25_5_X,7.1497
TDSP28_3_28_3_X,0.1870
TDSP28_5_28_5_X,7.1683
TDSP30_6_30_6_X,9.9124
TDSP30_8_30_8_X,12.7605
TDSP35_6_35_6_X,2.5345
TDSP35_8_35_8_X,4.3615
TDSP40_6_40_6_X,1.9586
TDSP40_8_40_8_X,2.6749
TDSP50_6_50_6_X,1.3617
TDSP50_8_50_8_X,1.5424
TDSP60_8_60_8_X,1.0451
TDSP60_10_60_10_X,1.2328
TDSP80_8_80_8_X,0.8945
TDSP80_10_80_10_X,0.7790
TDSP100_10_100_10_X,0.5861
TDSP100_15_100_15_X,0.6042
