set,scenario,instance_index,instance,n_runs,avg_err_rate,avg_err_percent
SetA,100,1,TDSP10_3_10_3_M,10,0.39713645509666246,0.20048340000000003
SetA,100,2,TDSP10_4_10_4_M,10,0.1122324414715719,0.16082343999999998
SetA,100,3,TDSP15_3_15_3_M,10,0.12841363524227972,0.12379904000000001
SetA,100,4,TDSP15_4_15_4_M,10,0.21509763509487229,0.1216519
SetA,100,5,TDSP20_3_20_3_M,10,0.05490384615384616,0.02454951
SetA,100,6,TDSP20_4_20_4_M,10,0.20726040618279024,0.05037477
SetA,100,7,TDSP25_3_25_3_M,10,0.17822687014281735,0.015756700000000002
SetA,100,8,TDSP25_5_25_5_M,10,0.4785214646489074,0.099026268
SetA,100,9,TDSP28_3_28_3_M,10,0.05968499752652996,0.013319038
SetA,100,10,TDSP28_5_28_5_M,10,0.40092669685061333,0.03624571
SetA,100,11,TDSP30_6_30_6_M,10,0.5653368434597941,0.04070837
SetA,100,12,TDSP30_8_30_8_M,10,0.6017882649680701,0.05022723
SetA,100,13,TDSP35_6_35_6_M,10,0.2542566170797146,0.02051551
SetA,100,14,TDSP35_8_35_8_M,10,0.488104535210857,0.027109650000000002
SetA,100,15,TDSP40_6_40_6_M,10,0.5452351200774699,0.02704003
SetA,100,16,TDSP40_8_40_8_M,10,0.5813356501863541,0.02459802
SetA,500,1,TDSP10_3_10_3_M,10,0.05466036827142483,0.0526229515
SetA,500,2,TDSP10_4_10_4_M,10,0.07612063534142444,0.066920663
SetA,500,3,TDSP15_3_15_3_M,10,0.04581398348813209,0.04278769
SetA,500,4,TDSP15_4_15_4_M,10,0.12111340816725709,0.041661290000000004
SetA,500,5,TDSP20_3_20_3_M,10,0.03782576321667908,0.009224462
SetA,500,6,TDSP20_4_20_4_M,10,0.13739702742842486,0.016713075
SetA,500,7,TDSP25_3_25_3_M,10,0.08468321481754038,0.007234686
SetA,500,8,TDSP25_5_25_5_M,10,0.35732422098437255,0.0507178
SetA,500,9,TDSP28_3_28_3_M,10,0.02576311061448667,0.010021653
SetA,500,10,TDSP28_5_28_5_M,10,0.2599951321226236,0.016382152
SetA,500,11,TDSP30_6_30_6_M,10,0.4128902391685325,0.016173954999999997
SetA,500,12,TDSP30_8_30_8_M,10,0.45429693917056857,0.016075119000000002
SetA,500,13,TDSP35_6_35_6_M,10,0.20376992930021723,0.00734046
SetA,500,14,TDSP35_8_35_8_M,10,0.36127501927120664,0.013663268000000001
SetA,500,15,TDSP40_6_40_6_M,10,0.3887191084737073,0.008022286
SetA,500,16,TDSP40_8_40_8_M,10,0.4773828654710771,0.006002124000000001
SetA,1000,1,TDSP10_3_10_3_M,10,0.014899440836940836,0.0042491627
SetA,1000,2,TDSP10_4_10_4_M,10,0.03987876254180602,0.029543312
SetA,1000,3,TDSP15_3_15_3_M,10,0.037461300309597524,0.021762739999999996
SetA,1000,4,TDSP15_4_15_4_M,10,0.06640175310761612,0.020415480000000003
SetA,1000,5,TDSP20_3_20_3_M,10,0.0409717051377513,0.0056436952
SetA,1000,6,TDSP20_4_20_4_M,10,0.07641853934211541,0.012632475
SetA,1000,7,TDSP25_3_25_3_M,10,0.06490462759863061,0.0030425959000000002
SetA,1000,8,TDSP25_5_25_5_M,10,0.30339449478684916,0.027410382
SetA,1000,9,TDSP28_3_28_3_M,10,0.00668374068995187,0.0003602442
SetA,1000,10,TDSP28_5_28_5_M,10,0.19861007290180036,0.010370415
SetA,1000,11,TDSP30_6_30_6_M,10,0.34542166517155654,0.007320583
SetA,1000,12,TDSP30_8_30_8_M,10,0.3671205737109988,0.010133628
SetA,1000,13,TDSP35_6_35_6_M,10,0.16454127974383062,0.0037365919999999995
SetA,1000,14,TDSP35_8_35_8_M,10,0.26328373211268397,0.008445211
SetA,1000,15,TDSP40_6_40_6_M,10,0.32197813165979366,0.003882776
SetA,1000,16,TDSP40_8_40_8_M,10,0.4262062331226454,0.003772243
SetA,1500,1,TDSP10_3_10_3_M,10,0.030327123779598248,0.005143447000000001
SetA,1500,2,TDSP10_4_10_4_M,10,0.031454669687488765,0.01196707
SetA,1500,3,TDSP15_3_15_3_M,10,0.025703044375644996,0.005123233
SetA,1500,4,TDSP15_4_15_4_M,10,0.05150490809481023,0.02259328
SetA,1500,5,TDSP20_3_20_3_M,10,0.04710178131622659,0.005347292
SetA,1500,6,TDSP20_4_20_4_M,10,0.03436008311761489,0.0036402181
SetA,1500,7,TDSP25_3_25_3_M,10,0.03910643482754628,0.0023232619
SetA,1500,8,TDSP25_5_25_5_M,10,0.26482200575522724,0.015661662
SetA,1500,9,TDSP28_3_28_3_M,10,0.011035875156925685,0.0021417872
SetA,1500,10,TDSP28_5_28_5_M,10,0.19838949995429006,0.004657255
SetA,1500,11,TDSP30_6_30_6_M,10,0.30054045510058425,0.004004774
SetA,1500,12,TDSP30_8_30_8_M,10,0.3072505080058521,0.004908586
SetA,1500,13,TDSP35_6_35_6_M,10,0.10666071962427778,0.002123187
SetA,1500,14,TDSP35_8_35_8_M,10,0.2247106991339745,0.004889136
SetA,1500,15,TDSP40_6_40_6_M,10,0.2576312533280323,0.0019454200000000004
SetA,1500,16,TDSP40_8_40_8_M,10,0.2962634280991727,0.0018328000000000003
SetB,100,1,TDSP10_3_10_3_MD,10,0.36101918689943335,0.090142
SetB,100,2,TDSP10_4_10_4_MD,10,0.36788141025010423,0.06699238
SetB,100,3,TDSP15_3_15_3_MD,10,0.40114025435944417,0.06065331
SetB,100,4,TDSP15_4_15_4_MD,10,0.2934719341223594,0.03269363
SetB,100,5,TDSP20_3_20_3_MD,10,0.41332837070052736,0.02749597
SetB,100,6,TDSP20_4_20_4_MD,10,0.3512207165541618,0.02667214
