Instance Name,AffScenarios
TDSP10_3_10_3_M,9.9999
TDSP10_4_10_4_M,9.84601
TDSP15_3_15_3_M,6.88399
TDSP15_4_15_4_M,6.69793
TDSP20_3_20_3_M,5.1419
TDSP20_4_20_4_M,4.92076
TDSP25_3_25_3_M,4.0613
TDSP25_5_25_5_M,3.92752
TDSP28_3_28_3_M,3.39665
TDSP28_5_28_5_M,3.54638
TDSP30_6_30_6_M,3.36753
TDSP30_8_30_8_M,3.34122
TDSP35_6_35_6_M,2.98807
TDSP35_8_35_8_M,2.87085
TDSP40_6_40_6_M,2.49782
TDSP40_8_40_8_M,2.5145
TDSP50_6_50_6_M,1.97542
TDSP50_8_50_8_M,1.97824
TDSP60_8_60_8_M,1.74898
TDSP60_10_60_10_M,1.68384
TDSP80_8_80_8_M,1.2631
TDSP80_10_80_10_M,1.26226
TDSP100_10_100_10_M,1.03628
TDSP100_15_100_15_M,1.02975
TDSP10_3_10_3_MD,9.4863
TDSP10_4_10_4_MD,10.0165
TDSP15_3_15_3_MD,6.93627
TDSP15_4_15_4_MD,6.50088
TDSP20_3_20_3_MD,5.34203
TDSP20_4_20_4_MD,4.78211
TDSP25_3_25_3_MD,3.98648
TDSP25_5_25_5_MD,3.96256
TDSP28_3_28_3_MD,3.41815
TDSP28_5_28_5_MD,3.52754
TDSP30_6_30_6_MD,3.30824
TDSP30_8_30_8_MD,3.335
TDSP35_6_35_6_MD,2.90764
TDSP35_8_35_8_MD,2.77736
TDSP40_6_40_6_MD,2.5262
TDSP40_8_40_8_MD,2.48933
TDSP50_6_50_6_MD,2.03221
TDSP50_8_50_8_MD,2.00435
TDSP60_8_60_8_MD,1.66894
TDSP60_10_60_10_MD,1.66055
TDSP80_8_80_8_MD,1.24818
TDSP80_10_80_10_MD,1.24333
TDSP100_10_100_10_MD,0.996644
TDSP100_15_100_15_MD,0.986342
TDSP10_3_10_3_X,12.3169
TDSP10_4_10_4_X,10.9078
TDSP15_3_15_3_X,7.08473
TDSP15_4_15_4_X,7.90552
TDSP20_3_20_3_X,6.90999
TDSP20_4_20_4_X,5.6092
TDSP25_3_25_3_X,5.84248
TDSP25_5_25_5_X,4.17385
TDSP28_3_28_3_X,5.77913
TDSP28_5_28_5_X,3.99046
TDSP30_6_30_6_X,3.68555
TDSP30_8_30_8_X,3.46665
TDSP35_6_35_6_X,2.92425
TDSP35_8_35_8_X,2.85448
TDSP40_6_40_6_X,2.45647
TDSP40_8_40_8_X,2.44349
TDSP50_6_50_6_X,2.05725
TDSP50_8_50_8_X,1.98681
TDSP60_8_60_8_X,1.7533
TDSP60_10_60_10_X,1.71317
TDSP80_8_80_8_X,1.32747
TDSP80_10_80_10_X,1.28402
TDSP100_10_100_10_X,1.01336
TDSP100_15_100_15_X,0.994591
