Instance Name,SimHGS,Det,EDT,MTG
TDSP10_3_10_3_M,5417.44,6363.67,10622.5,10622.27
TDSP10_4_10_4_M,7445.14,8387.85,12747.68,12787.12
TDSP15_3_15_3_M,10025,10804.38,25051.11,25051.12
TDSP15_4_15_4_M,13224.96,14978.69,25179.83,25180.79
TDSP20_3_20_3_M,17716.75,18672.85,39770.21,39770.26
TDSP20_4_20_4_M,17898.24,19272.34,33080.53,33232.8
TDSP25_3_25_3_M,70513.13,72007.81,78889.82,79310.19
TDSP25_5_25_5_M,35231.6,38409.84,66407.74,66426.74
TDSP28_3_28_3_M,64834.88,65590.96,95342.05,98185.91
TDSP28_5_28_5_M,63627.17,66977.31,98218.2,98253.76
TDSP30_6_30_6_M,53318.5,56875.05,88760.08,89072.92
TDSP30_8_30_8_M,61595.67,67107.43,89731.58,89882.15
TDSP35_6_35_6_M,88267.49,93235.81,123747.4,124593.72
TDSP35_8_35_8_M,83823.99,88097.36,129599.23,129588.92
TDSP40_6_40_6_M,107679.16,114614.59,190550.19,191378.47
TDSP40_8_40_8_M,118686.56,127153.4,177279.96,177195.98
TDSP50_6_50_6_M,259722.94,264053.31,325524.83,325545.08
TDSP50_8_50_8_M,168911.88,176507.91,263778.81,263981.46
TDSP60_8_60_8_M,257083.29,268622.09,418444.53,418472.75
TDSP60_10_60_10_M,260049.98,273181.01,379618.78,379457.39
TDSP80_8_80_8_M,556871.43,566394.05,728886.62,729106.56
TDSP80_10_80_10_M,376167.73,394694.2,645313.22,645281.49
TDSP100_10_100_10_M,776266.47,792512.82,1167921.93,1167923.07
TDSP100_15_100_15_M,753687.7,771871.06,1034936.72,1036266.65
TDSP10_3_10_3_MD,17660.1,19639.77,30771.52,30763.69
TDSP10_4_10_4_MD,24849.07,26141.22,36455.98,36449.68
TDSP15_3_15_3_MD,37840.6,41530.39,79041.69,79053.24
TDSP15_4_15_4_MD,50531.85,54161.36,67969.46,67940.22
TDSP20_3_20_3_MD,62792.61,66587.97,137589.92,137587.83
TDSP20_4_20_4_MD,68007.21,72640.59,101131.42,101095.52
TDSP25_3_25_3_MD,241755.67,244890.09,277151.08,281520.86
TDSP25_5_25_5_MD,115083.44,123058.09,199643.25,200004.73
TDSP28_3_28_3_MD,242385.36,246174.59,310753.42,321137.66
TDSP28_5_28_5_MD,196354.11,203574.2,288948.05,290046.99
TDSP30_6_30_6_MD,195024.34,205852.7,311894.98,313416.23
TDSP30_8_30_8_MD,202166.3,211853.75,302967.55,303446.61
TDSP35_6_35_6_MD,306354.71,316662.75,409854.16,415000.78
TDSP35_8_35_8_MD,270203.33,280532.43,414451.86,416737.39
TDSP40_6_40_6_MD,348711.64,360215.92,577774.44,587437.46
TDSP40_8_40_8_MD,364183.36,380327.08,548943.27,553414.44
TDSP50_6_50_6_MD,834458.49,846266.17,1054184.64,1054144.42
TDSP50_8_50_8_MD,527872.72,543773.68,860184.18,860551.83
TDSP60_8_60_8_MD,944804.03,960785.16,1459041.19,1459136.8
TDSP60_10_60_10_MD,857658.14,876760.06,1296649.07,1296506.18
TDSP80_8_80_8_MD,1824914.6,1840941.15,2533562.8,2541222.07
TDSP80_10_80_10_MD,1341646.01,1366334.04,2257312.94,2257264.89
TDSP100_10_100_10_MD,2626287.4,2645585.64,3971077.26,3980607.24
TDSP100_15_100_15_MD,2538185.46,2556278.3,3580979.94,3594202.21
TDSP10_3_10_3_X,67.81,4754.29,6732.23,8597.42
TDSP10_4_10_4_X,44.12,3331.31,9330.24,9939.96
TDSP15_3_15_3_X,10273.54,14242.79,33817.91,55259.17
TDSP15_4_15_4_X,1571.77,8729.79,10287.29,29653.85
TDSP20_3_20_3_X,33292.58,39148.02,106803.91,118901.29
TDSP20_4_20_4_X,8038.09,11459.93,46705.49,88757.38
TDSP25_3_25_3_X,88056.9,95911.08,202413.93,258855.66
TDSP25_5_25_5_X,46800.99,54913.05,95303.51,182243.15
TDSP28_3_28_3_X,129297.1,146658.82,227086.11,357814.35
TDSP28_5_28_5_X,46497.22,58155.54,70231.55,187328.16
TDSP30_6_30_6_X,41274.13,49547.82,62060.93,194307.47
TDSP30_8_30_8_X,39476.41,48774.77,58281.81,161003.79
TDSP35_6_35_6_X,128738.12,139557.12,226235.07,422342.96
TDSP35_8_35_8_X,119154.74,130162.23,184652,380552.04
TDSP40_6_40_6_X,188371.77,201022.59,348872.36,660504.26
TDSP40_8_40_8_X,186686.58,201475.25,296005.93,608309.64
TDSP50_6_50_6_X,442154.9,455291.27,696322.18,1108000.83
TDSP50_8_50_8_X,430337.13,439009.52,628164.95,1029617.12
TDSP60_8_60_8_X,544142.1,565366.97,855657.25,1306764.18
TDSP60_10_60_10_X,546324.04,554783.59,866153.58,1213614.28
TDSP80_8_80_8_X,1115084.09,1133754.21,1786156.81,2745771.6
TDSP80_10_80_10_X,1116326.82,1132453.91,1805444.74,2587207.49
TDSP100_10_100_10_X,2259025.34,2278134.61,3365766.48,4682195.08
TDSP100_15_100_15_X,2269585.8,2287438.96,3442251.1,4084828.29
