Instance Name,SimHGS,Det,EDT,MTG
TDSP10_3_10_3_M,5513,6172.78,10767.42,10767.42
TDSP10_4_10_4_M,7409.68,7903.34,12547.48,12548.47
TDSP15_3_15_3_M,10016,10155.09,25195,25195
TDSP15_4_15_4_M,13213.04,14582.91,25261.89,25261.89
TDSP20_3_20_3_M,17689,18489.58,39783,39783
TDSP20_4_20_4_M,17662.03,18010.32,33053.81,33290.39
TDSP25_3_25_3_M,70396.97,71353.61,79218.81,79319.01
TDSP25_5_25_5_M,35186.93,37097.43,66383.65,66391.47
TDSP28_3_28_3_M,64813.65,65264.35,95410.53,98217.83
TDSP28_5_28_5_M,63061.87,65847.84,97985.56,97977.06
TDSP30_6_30_6_M,52935.97,55166.87,88975.79,89299.91
TDSP30_8_30_8_M,61165.47,64395.26,88240.68,88382.9
TDSP35_6_35_6_M,88329.72,90807.51,124213.53,124469.41
TDSP35_8_35_8_M,83233.55,85734.1,130126.51,130108.35
TDSP40_6_40_6_M,106676.82,111726.83,194879.27,195719.59
TDSP40_8_40_8_M,118494.67,123298.13,177551.9,177501.43
TDSP50_6_50_6_M,259882.03,261735.62,325127.24,325098.2
TDSP50_8_50_8_M,167484.51,173549.7,260912.5,261517.61
TDSP60_8_60_8_M,254873.67,263875.24,419021.2,419013.3
TDSP60_10_60_10_M,256832.64,266157.29,379607.41,379448.96
TDSP80_8_80_8_M,552014.11,559775.28,728451.57,728535.2
TDSP80_10_80_10_M,371179.57,382747,644349.72,644374.19
TDSP100_10_100_10_M,769071.88,780735.68,1168676.12,1168134.14
TDSP100_15_100_15_M,744938.14,758317.34,1033488.6,1036413.64
TDSP10_3_10_3_MD,17545.18,18748.31,30803.26,30803.26
TDSP10_4_10_4_MD,23945.17,25110.43,35537.05,35579.61
TDSP15_3_15_3_MD,38064.39,39422.63,79415.1,79418.08
TDSP15_4_15_4_MD,50755.12,52810.78,67723.41,67713.2
TDSP20_3_20_3_MD,62175.84,64652.31,137651.92,137675.53
TDSP20_4_20_4_MD,67181.91,70118.54,101396.05,101444.29
TDSP25_3_25_3_MD,241311.95,243253.98,278045.32,281379.21
TDSP25_5_25_5_MD,114202.16,119657.65,199061.88,199435.03
TDSP28_3_28_3_MD,241346.82,243959.05,310991.2,320754.83
TDSP28_5_28_5_MD,195384.86,200305.99,288454.42,288895.81
TDSP30_6_30_6_MD,194328.43,200346.94,312035.78,312092.89
TDSP30_8_30_8_MD,199830.11,204952.35,293962.77,294711.53
TDSP35_6_35_6_MD,305150.49,311306.54,410516.1,411952.12
TDSP35_8_35_8_MD,265694.4,274395.93,415250.66,416207.64
TDSP40_6_40_6_MD,345755.51,354292.94,588993.31,598101.91
TDSP40_8_40_8_MD,360935.65,370691.14,550765.04,550962.85
TDSP50_6_50_6_MD,830615.34,838174.99,1055140.74,1055159.38
TDSP50_8_50_8_MD,523343.49,533932.12,850018.52,849791.12
TDSP60_8_60_8_MD,937965.57,948407.08,1461117.02,1461288.59
TDSP60_10_60_10_MD,849034.06,861055.56,1292972.31,1292790.19
TDSP80_8_80_8_MD,1813760.68,1826574.5,2532705.95,2538766.43
TDSP80_10_80_10_MD,1328519.8,1338488.26,2256429.13,2256274.17
TDSP100_10_100_10_MD,2610110.35,2623598.16,3971121.78,3993655.4
TDSP100_15_100_15_MD,2509305.8,2524035.84,3581414.57,3591395.03
TDSP10_3_10_3_X,23,1506.11,7319.66,7915.72
TDSP10_4_10_4_X,7,848.74,10328.13,10927.81
TDSP15_3_15_3_X,6780.44,8784.26,36201.28,61899.93
TDSP15_4_15_4_X,136,3213.7,9939.69,30217.45
TDSP20_3_20_3_X,26317.73,28675.1,105378.23,119363.55
TDSP20_4_20_4_X,2811.02,4730.33,41915.87,89052.82
TDSP25_3_25_3_X,75154.56,78644.5,202377.71,260155.2
TDSP25_5_25_5_X,40626.07,45092.95,106294.35,190509.35
TDSP28_3_28_3_X,113144.81,119759.34,225119.3,360595.39
TDSP28_5_28_5_X,38912.59,43054.1,62314.99,182256.7
TDSP30_6_30_6_X,32996.83,37231.91,50365.19,187973.27
TDSP30_8_30_8_X,32620.87,38255.64,54031.72,160130.32
TDSP35_6_35_6_X,111742.49,116495.02,230966.11,425309.06
TDSP35_8_35_8_X,106160.83,112725.1,185428.74,380635.83
TDSP40_6_40_6_X,174011.15,181185.89,327873.66,641481.6
TDSP40_8_40_8_X,173310.85,180705.42,281538.45,595064.22
TDSP50_6_50_6_X,411835.09,421084.49,691893.94,1104601.48
TDSP50_8_50_8_X,402819.87,408635.21,623289.57,1028224.72
TDSP60_8_60_8_X,518883.22,528493.88,843589.53,1285847.05
TDSP60_10_60_10_X,519453.96,525779.26,855116.22,1198710.99
TDSP80_8_80_8_X,1069218.07,1083778.43,1787960.72,2746408.81
TDSP80_10_80_10_X,1076068.6,1086971.1,1805487.94,2582168.75
TDSP100_10_100_10_X,2196789.68,2217440.97,3347749.75,4652688.29
TDSP100_15_100_15_X,2206522.14,2219682.45,3424583.25,4052654.27
